연도,행정구역,연앙인구수(명),연앙인구수(천명),지역내총생산,재정자립도(%),통계방식변경,전체산업사업체수,전체산업종사자수,제조업종사자수,상용월평균급여(원),학교수,문화기반시설수,문화예술활동(건),19세,20~24세,25~29세,30~34세,35~39세
2015,강원특별자치도,1533360.0,1533.36,41872021.0,21.45,0.0,133517.0,580331.0,56047.0,2884859.0,19.0,206.0,1151.0,21687.0,104816.0,76777.0,85868.0,95961.0
2015,경기도,12337489.0,12337.489,404868209.0,60.72,0.0,827983.0,4650266.0,1260761.0,3193960.0,78.0,492.0,3815.0,157674.0,804648.0,731217.0,904071.0,993964.0
2015,경상남도,3336798.5,3336.7985,109028154.0,37.43,0.0,262947.0,1365595.0,444673.0,3140398.0,24.0,190.0,1801.0,38635.0,194204.0,168655.0,221650.0,243328.0
2015,경상북도,2684089.5,2684.0895,109563894.0,24.26,0.0,218795.0,1066259.0,328305.0,3186263.0,39.0,196.0,1021.0,35122.0,162946.0,136521.0,163734.0,172486.0
2015,광주광역시,1465091.0,1465.091,37243072.0,44.21,0.0,113424.0,559853.0,82540.0,2916828.0,18.0,56.0,1168.0,23947.0,114226.0,89544.0,107109.0,115620.0
2015,대구광역시,2471181.5,2471.1815,56003260.0,46.87,0.0,200069.0,895517.0,178781.0,2678424.0,13.0,72.0,1924.0,35472.0,175680.0,141245.0,159794.0,175062.0
2015,대전광역시,1514389.5,1514.3895,37893020.0,49.34,0.0,111815.0,586069.0,61558.0,3170752.0,20.0,56.0,991.0,27403.0,124959.0,99506.0,109626.0,115499.0
2015,부산광역시,3478811.5,3478.8115,88748972.0,50.99,0.0,278850.0,1371843.0,227632.0,2916010.0,24.0,87.0,2470.0,48246.0,241138.0,203729.0,232762.0,240788.0
2015,서울특별시,9907155.0,9907.155,386818107.0,80.29,0.0,820658.0,5108828.0,293173.0,3708005.0,90.0,356.0,12465.0,121531.0,681199.0,722350.0,823935.0,767625.0
2015,세종특별자치시,182610.0,182.61,9958014.0,43.96,0.0,10480.0,83764.0,18675.0,3228930.2,3.0,12.0,54.0,3295.0,13861.0,11199.0,16583.0,19641.0
2015,울산광역시,1163345.5,1163.3455,76116207.0,63.55,0.0,80805.0,519516.0,186809.0,4230294.0,6.0,39.0,887.0,13568.0,76771.0,69937.0,86497.0,90522.0
2015,인천광역시,2886542.0,2886.542,81805340.0,59.15,0.0,186011.0,984652.0,245240.0,3025075.0,10.0,97.0,1084.0,36518.0,195760.0,180149.0,215364.0,225552.0
2015,전국,50951719.0,50951.719,,,,,,,,,,,671216.0,3385936.0,3027896.0,3611034.0,3783589.0
2015,전라남도,1894202.5,1894.2025,73361198.0,17.82,0.0,147196.0,690853.0,120633.0,3380798.0,19.0,181.0,799.0,19681.0,93986.0,75927.0,98162.0,110192.0
2015,전북특별자치도,1858351.5,1858.3515,49231041.0,22.14,0.0,146652.0,669128.0,122344.0,3017224.0,22.0,149.0,1422.0,25993.0,121426.0,91510.0,104691.0,117846.0
2015,제주특별자치도,611337.5,611.3375,18142055.0,30.28,0.0,55155.0,250000.0,11721.0,2454580.0,4.0,126.0,688.0,7078.0,36154.0,29254.0,38545.0,43342.0
2015,충청남도,2055843.0,2055.843,104232835.0,30.4,0.0,158306.0,858311.0,276581.0,3364751.0,25.0,154.0,732.0,30617.0,135706.0,113629.0,140662.0,148381.0
2015,충청북도,1571121.5,1571.1215,58256451.0,28.14,0.0,121493.0,648454.0,186786.0,3021378.0,17.0,126.0,631.0,24749.0,108456.0,86747.0,101981.0,107780.0
2016,강원특별자치도,1536275.0,1536.275,44677444.0,22.4,0.0,136452.0,596710.0,57365.0,3023906.0,19.0,211.0,1444.0,21214.0,105907.0,78496.0,81620.0,96444.0
2016,경기도,12509483.5,12509.4835,433443961.0,61.61,0.0,856162.0,4802589.0,1276105.0,3328379.0,78.0,504.0,3925.0,154492.0,813226.0,756646.0,863963.0,1019400.0
2016,경상남도,3348251.5,3348.2515,113497638.0,36.61,0.0,268902.0,1379041.0,433488.0,3257296.0,24.0,193.0,1689.0,36428.0,195198.0,169649.0,207206.0,247969.0
2016,경상북도,2683477.5,2683.4775,112216094.0,26.1,0.0,222536.0,1086638.0,328962.0,3326347.0,39.0,195.0,1035.0,34173.0,164667.0,135395.0,153786.0,175114.0
