연도,행정구역,청년_19_29,청년_19_29_증감률(%),청년_30_39,청년_30_39_증감률(%)
2015,서울특별시,1525080,,1591560,
2016,서울특별시,1511344,-0.9006740629999732,1545993,-2.8630400361909114
2017,서울특별시,1509430,-0.12664224690077663,1505315,-2.6311891450996217
2018,서울특별시,1508227,-0.07969895920977299,1468787,-2.426601741163814
2019,서울특별시,1518582,0.6865677381455271,1431320,-2.550880420374091
2020,서울특별시,1521751,0.20868151999693385,1404340,-1.8849733113489697
2021,서울특별시,1482811,-2.5588943263385455,1373184,-2.2185510631328564
2022,서울특별시,1436463,-3.1256849321997238,1360714,-0.9081084545115581
2023,서울특별시,1403061,-2.325294838781089,1363050,0.17167457672957465
2024,서울특별시,1352905,-3.5747554810517834,1374125,0.8125160485675575
2015,부산광역시,493113,,473550,
2016,부산광역시,487427,-1.1530825591700045,464898,-1.8270509977827087
2017,부산광역시,483904,-0.7227748975744075,450434,-3.111220095590861
2018,부산광역시,477389,-1.3463414230921789,435772,-3.2550828756266137
2019,부산광역시,470287,-1.4876756691084236,418865,-3.8797811699696205
2020,부산광역시,461595,-1.8482331002132701,403236,-3.731273799434187
2021,부산광역시,446640,-3.239853117993041,391182,-2.9893164300806463
2022,부산광역시,423092,-5.272255060003584,383312,-2.0118512610498462
2023,부산광역시,403707,-4.5817458141491745,378093,-1.361554034311474
2024,부산광역시,381573,-5.482689178042488,375385,-0.7162259020928707
2015,대구광역시,352397,,334856,
2016,대구광역시,351057,-0.38025295334522813,326249,-2.570358601906486
2017,대구광역시,350176,-0.2509563973941531,317437,-2.7010044475232142
2018,대구광역시,349459,-0.2047541807548181,309843,-2.3922857133856446
2019,대구광역시,347617,-0.5271004609982866,299612,-3.3019948812785804
2020,대구광역시,344447,-0.9119231798214722,287429,-4.066259028343322
2021,대구광역시,332686,-3.4144585378882653,278317,-3.1701741995414534
2022,대구광역시,315316,-5.221139452817369,273285,-1.8080102904242334
2023,대구광역시,300146,-4.811046696012888,273395,0.040251019997428195
2024,대구광역시,283522,-5.538637862906715,274885,0.5449989941293643
2015,인천광역시,412427,,440916,
2016,인천광역시,414772,0.5685854708833427,436199,-1.0698182873835393
2017,인천광역시,416918,0.5173926880310153,426595,-2.2017473676005705
2018,인천광역시,414417,-0.5998781534978126,417806,-2.0602679356298115
2019,인천광역시,415552,0.27387872601751795,406597,-2.682824085819735
2020,인천광역시,412851,-0.6499788233482184,391099,-3.811636583644251
2021,인천광역시,401331,-2.790352936047147,387078,-1.0281284278405245
2022,인천광역시,388160,-3.281829711634532,390668,0.9274616485566156
2023,인천광역시,371165,-4.378349134377579,397484,1.7447039429899558
2024,인천광역시,357108,-3.7872644241779274,406553,2.281601272000877
2015,광주광역시,227717,,222729,
2016,광주광역시,226828,-0.3903968522332546,214951,-3.4921361834336806
2017,광주광역시,228856,0.8940695152273914,206834,-3.776209461691271
2018,광주광역시,228883,0.011797811724401086,199542,-3.5255325526750925
2019,광주광역시,232243,1.4679989339531518,191894,-3.8327770594661748
2020,광주광역시,228762,-1.4988611066856672,183897,-4.167404921467055
2021,광주광역시,227124,-0.7160280116452866,179417,-2.4361463210384127
2022,광주광역시,220131,-3.0789348549690954,175524,-2.169805536822045
2023,광주광역시,209153,-4.9870304500502005,172094,-1.954148720402904
2024,광주광역시,198443,-5.120653301649991,170775,-0.766441595872025
2015,대전광역시,251868,,225125,
2016,대전광역시,253480,0.6400177870948376,219687,-2.415546918378675
2017,대전광역시,254294,0.321129872179271,212728,-3.167688575109129
2018,대전광역시,251748,-1.0012033315768387,205215,-3.5317400624271356
2019,대전광역시,250930,-0.32492810270587924,197240,-3.8861681650951496
2020,대전광역시,251133,0.08089905551349474,190280,-3.528696004867171
2021,대전광역시,246412,-1.87988038210829,185754,-2.378599957956695
2022,대전광역시,238220,-3.3245134165543866,183763,-1.0718477125660875
2023,대전광역시,231117,-2.9816975904625953,183385,-0.2056997328080179
2024,대전광역시,222928,-3.5432270235421837,185608,1.2122038334651197
2015,울산광역시,160276,,177019,
2016,울산광역시,160278,0.001247847463115015,174408,-1.4749829114388824
2017,울산광역시,157261,-1.8823544092139932,169082,-3.0537590018806515
2018,울산광역시,154502,-1.7544082766865254,163754,-3.151133769413661
2019,울산광역시,151005,-2.2634011210210914,157608,-3.7531907617523896
2020,울산광역시,148119,-1.9111949935432637,149629,-5.062560276128114
2021,울산광역시,140462,-5.169492097570194,142571,-4.717000046782371
2022,울산광역시,131867,-6.119092708348162,137279,-3.7118348051146444
2023,울산광역시,124192,-5.820258290550329,133868,-2.4847208968596823
2024,울산광역시,119032,-4.154856995619682,132931,-0.699943227657096
2015,세종특별자치시,28355,,36224,
2016,세종특별자치시,34222,20.69123611356023,43502,20.091651943462896
2017,세종특별자치시,37032,8.211092279819997,49390,13.53500988460301
2018,세종특별자치시,40333,8.913912292071725,55791,12.960113383275962
2019,세종특별자치시,42513,5.405003347135096,58985,5.724937713968203
2020,세종특별자치시,44629,4.9773010608519686,58946,-0.06611850470458203
2021,세종특별자치시,42720,-4.277487732192076,58992,0.0780375258711441
2022,세종특별자치시,45875,7.385299625468167,59069,0.1305261730404128
2023,세종특별자치시,44699,-2.563487738419623,57542,-2.5851123262625064
2024,세종특별자치시,43578,-2.507886082462696,56904,-1.108755343922696
2015,경기도,1693539,,1898035,
2016,경기도,1724364,1.8201529459906052,1883363,-0.773009981375472
2017,경기도,1758522,1.9809042638329277,1866556,-0.8923930224815968
2018,경기도,1782168,1.34465192929063,1871153,0.24628245817430727
2019,경기도,1806133,1.3447104874512394,1855052,-0.8604854867560241
2020,경기도,1860578,3.014451316708122,1832025,-1.2413129119830613
2021,경기도,1834821,-1.3843547542752854,1826287,-0.31320533289665997
2022,경기도,1769093,-3.5822567978020747,1811690,-0.7992719654687397
2023,경기도,1705421,-3.5991324367910527,1809499,-0.12093680486175984
2024,경기도,1645857,-3.4926273336613023,1831061,1.191600547996985
2015,강원특별자치도,203280,,181829,
2016,강원특별자치도,205617,1.14964580873671,178064,-2.0706267977055326
2017,강원특별자치도,204484,-0.5510244775480677,173052,-2.814718303531316
2018,강원특별자치도,202710,-0.8675495393282606,168657,-2.5396990499965355
2019,강원특별자치도,200437,-1.1213062996398793,164479,-2.4772170737058063
2020,강원특별자치도,196648,-1.8903695425495304,160343,-2.514606727910551
2021,강원특별자치도,191104,-2.8192506407387796,157147,-1.993227019576782
2022,강원특별자치도,187312,-1.9842598794373778,155331,-1.1556058976626926
2023,강원특별자치도,180885,-3.4311736567865347,153744,-1.021689167004658
2024,강원특별자치도,171760,-5.044641623130719,153756,0.0078051826412739445
2015,충청북도,219952,,209761,
2016,충청북도,225756,2.6387575471011893,206523,-1.5436615958161926
2017,충청북도,226040,0.12579953578200076,202580,-1.9092304489088385
2018,충청북도,225989,-0.02256237834011854,199636,-1.4532530358376983
2019,충청북도,226962,0.4305519295186855,195212,-2.2160331803883104
2020,충청북도,227724,0.3357390223914125,190235,-2.549535889187138
2021,충청북도,216516,-4.921747378405438,186308,-2.0642889058270053
2022,충청북도,206525,-4.614439579522989,183094,-1.7251003714279567
2023,충청북도,206099,-0.206270427309041,183542,0.2446830589751814
2024,충청북도,196067,-4.867563646597029,184866,0.7213607784594345
2015,충청남도,279952,,289043,
2016,충청남도,284365,1.5763416585700352,286608,-0.8424352086021769
2017,충청남도,286540,0.76486206108346,285593,-0.35414224306369313
2018,충청남도,284566,-0.6889090528373054,282107,-1.2206181524056947
2019,충청남도,282725,-0.6469500924214389,273761,-2.958451934904127
2020,충청남도,272696,-3.547263241665932,262023,-4.287681590876713
2021,충청남도,265926,-2.4826180068647896,253466,-3.265743846914204
2022,충청남도,262175,-1.4105427825786165,247156,-2.489485769294497
2023,충청남도,254514,-2.922094021169064,244603,-1.0329508488565953
2024,충청남도,248305,-2.4395514588588463,245351,0.3058016459323909
2015,전북특별자치도,238929,,222537,
2016,전북특별자치도,239909,0.41016368879458476,216427,-2.7456108422419634
2017,전북특별자치도,238731,-0.4910195115648053,208373,-3.7213471516954866
2018,전북특별자치도,236582,-0.9001763491126025,200583,-3.738488191848277
2019,전북특별자치도,234839,-0.7367424402532685,191587,-4.48492643942906
2020,전북특별자치도,234921,0.03491753925028984,183296,-4.327537880962695
2021,전북특별자치도,228180,-2.869475270410049,177103,-3.378688023743015
2022,전북특별자치도,218273,-4.341747743009905,171665,-3.070529578832659
2023,전북특별자치도,209854,-3.8570963884676512,168226,-2.0033204205866073
2024,전북특별자치도,198241,-5.533847341485032,167707,-0.3085135472519096
2015,전라남도,189594,,208354,
2016,전라남도,190876,0.6761817357089361,203957,-2.1103506532151983
2017,전라남도,188798,-1.088664892390867,197992,-2.9246360752511524
2018,전라남도,191327,1.3395269017680178,191133,-3.4642813851064713
2019,전라남도,193552,1.1629304802772245,183256,-4.121214023742626
2020,전라남도,195348,0.927916012234431,176194,-3.8536255293141863
2021,전라남도,188233,-3.642217990458052,169483,-3.8088697685505712
2022,전라남도,180229,-4.2521768234050406,163714,-3.403881215225124
2023,전라남도,173105,-3.9527490026577294,161599,-1.2918870713561459
2024,전라남도,164369,-5.046647988215247,161573,-0.0160892084728248
2015,경상북도,334589,,336220,
2016,경상북도,334235,-0.10580144595309093,328900,-2.177145916364287
2017,경상북도,329178,-1.5130073152123558,319861,-2.748251748251751
2018,경상북도,323982,-1.5784772979968276,310198,-3.0209997467649963
2019,경상북도,319009,-1.534961818866476,298459,-3.784357088053436
2020,경상북도,309605,-2.9478792134391196,282984,-5.184966779356626
2021,경상북도,301055,-2.761583307763116,272478,-3.7125773895343883
2022,경상북도,287518,-4.496520569331186,261701,-3.9551817027429714
2023,경상북도,272479,-5.230629038877566,252854,-3.3805755423173767
2024,경상북도,258517,-5.1240646068137385,249112,-1.479905399954129
2015,경상남도,401494,,464978,
2016,경상남도,401275,-0.05454626968273146,455175,-2.1082717892029312
2017,경상남도,397516,-0.9367640645442599,444972,-2.241555445707699
2018,경상남도,395985,-0.3851417301442006,432079,-2.8974856844925068
2019,경상남도,389547,-1.625819159816655,415092,-3.931456978932091
2020,경상남도,387593,-0.501608278333554,391284,-5.735595964268159
2021,경상남도,370440,-4.42551852071632,371894,-4.955479907177396
2022,경상남도,349412,-5.676492819349965,354632,-4.641645199976341
2023,경상남도,327398,-6.300298787677583,341759,-3.6299600712851654
2024,경상남도,309237,-5.547071148876903,336535,-1.5285625250542
2015,제주특별자치도,72486,,81887,
2016,제주특별자치도,74285,2.4818585657920167,82702,0.9952739751120543
2017,제주특별자치도,76928,3.5579188261425587,83635,1.12814684046334
2018,제주특별자치도,79183,2.931312396006658,84207,0.6839241944162078
2019,제주특별자치도,79962,0.9837970271396657,81915,-2.7218639780540843
2020,제주특별자치도,81997,2.5449588554563363,79805,-2.5758408105963526
2021,제주특별자치도,79758,-2.730587704428211,78251,-1.9472464131320089
2022,제주특별자치도,77012,-3.4429148173223956,76939,-1.6766558893816064
2023,제주특별자치도,72711,-5.584843920427984,75560,-1.7923289878995052
2024,제주특별자치도,68684,-5.538364208991764,74930,-0.8337744838538885
