,연도,행정구역,상용월급여액(원),상용정액급여(원),상용초과급여(원),상용특별급여(원)
0,2015,전국,2926186,2710026,216160,378678
1,2015,서울,3261561,3169585,91976,446444
2,2015,부산,2620611,2446981,173631,295399
3,2015,대구,2415995,2231900,184095,262429
4,2015,인천,2723424,2499996,223427,301651
5,2015,광주,2562254,2351570,210684,354574
6,2015,대전,2857131,2691168,165964,313621
7,2015,울산,3084932,2556458,528473,1145362
8,2015,경기,2853670,2642754,210916,340290
9,2015,강원,2569139,2377149,191990,315720
10,2015,충북,2631387,2304488,326899,389991
11,2015,충남,2937394,2568465,368929,427357
12,2015,전북,2547426,2313712,233714,469798
13,2015,전남,2856750,2562052,294698,524048
14,2015,경북,2776589,2443750,332839,409674
15,2015,경남,2765647,2460942,304706,374751
16,2015,제주,2293505,2180079,113426,161075
17,2016,전국,3030286,2801094,229192,386170
18,2016,서울,3364470,3265243,99227,468900
19,2016,부산,2694140,2508427,185713,269514
20,2016,대구,2472297,2269710,202587,284754
21,2016,인천,2839944,2568682,271262,308989
22,2016,광주,2630845,2401332,229513,363510
23,2016,대전,2985356,2805237,180119,335136
24,2016,울산,3122883,2630112,492771,1166211
25,2016,경기,2970904,2733650,237254,357475
26,2016,강원,2727782,2502271,225511,296124
27,2016,충북,2774278,2410184,364093,410132
28,2016,충남,3073036,2669253,403783,450225
29,2016,전북,2616967,2357528,259438,481847
30,2016,전남,2938553,2620350,318203,525294
31,2016,경북,2916120,2571569,344551,410227
32,2016,경남,2889391,2551751,337640,367905
33,2016,제주,2389239,2269348,119891,175241
34,2017,전국,3125273,2896038,229235,395787
35,2017,서울,3445867,3336121,109746,496411
36,2017,부산,2786616,2602855,183762,278049
37,2017,대구,2634209,2391299,242911,212081
38,2017,인천,2913439,2665555,247884,318309
39,2017,광주,2731776,2491666,240110,369865
40,2017,대전,3071837,2907279,164557,334973
41,2017,울산,3169771,2724062,445709,1071654
42,2017,경기,3102230,2869392,232838,330840
43,2017,강원,2804556,2600579,203978,301860
44,2017,충북,2888651,2499423,389228,415656
45,2017,충남,3139647,2733986,405661,455341
46,2017,전북,2750571,2442906,307665,444668
47,2017,전남,2996396,2690185,306212,553458
48,2017,경북,2986091,2624005,362086,420622
49,2017,경남,2943459,2610037,333422,377382
50,2017,제주,2456978,2329278,127700,192386
51,2018,전국,3259281,3030795,228486,374381
52,2018,서울,3563940,3439652,124288,501323
53,2018,부산,2962069,2782542,179527,259227
54,2018,대구,2766527,2521683,244844,196211
