연도,행정구역,상용월평균급여(원),상용월급여액(원),상용정액급여(원),상용초과급여(원),상용특별급여(원)
2015,서울특별시,3708005.0,3261561.0,3169585.0,91976.0,446444.0
2015,부산광역시,2916010.0,2620611.0,2446981.0,173631.0,295399.0
2015,대구광역시,2678424.0,2415995.0,2231900.0,184095.0,262429.0
2015,인천광역시,3025075.0,2723424.0,2499996.0,223427.0,301651.0
2015,광주광역시,2916828.0,2562254.0,2351570.0,210684.0,354574.0
2015,대전광역시,3170752.0,2857131.0,2691168.0,165964.0,313621.0
2015,울산광역시,4230294.0,3084932.0,2556458.0,528473.0,1145362.0
2015,세종특별자치시,3228930.2,2862340.6,2543824.5,318516.1,366589.6
2015,경기도,3193960.0,2853670.0,2642754.0,210916.0,340290.0
2015,강원특별자치도,2884859.0,2569139.0,2377149.0,191990.0,315720.0
2015,충청북도,3021378.0,2631387.0,2304488.0,326899.0,389991.0
2015,충청남도,3364751.0,2937394.0,2568465.0,368929.0,427357.0
2015,전북특별자치도,3017224.0,2547426.0,2313712.0,233714.0,469798.0
2015,전라남도,3380798.0,2856750.0,2562052.0,294698.0,524048.0
2015,경상북도,3186263.0,2776589.0,2443750.0,332839.0,409674.0
2015,경상남도,3140398.0,2765647.0,2460942.0,304706.0,374751.0
2015,제주특별자치도,2454580.0,2293505.0,2180079.0,113426.0,161075.0
2016,서울특별시,3833370.0,3364470.0,3265243.0,99227.0,468900.0
2016,부산광역시,2963654.0,2694140.0,2508427.0,185713.0,269514.0
2016,대구광역시,2757051.0,2472297.0,2269710.0,202587.0,284754.0
2016,인천광역시,3148933.0,2839944.0,2568682.0,271262.0,308989.0
2016,광주광역시,2994355.0,2630845.0,2401332.0,229513.0,363510.0
2016,대전광역시,3320492.0,2985356.0,2805237.0,180119.0,335136.0
2016,울산광역시,4289094.0,3122883.0,2630112.0,492771.0,1166211.0
2016,세종특별자치시,3378458.9,2992253.0,2643645.6,348607.4,386206.0
2016,경기도,3328379.0,2970904.0,2733650.0,237254.0,357475.0
2016,강원특별자치도,3023906.0,2727782.0,2502271.0,225511.0,296124.0
2016,충청북도,3184410.0,2774278.0,2410184.0,364093.0,410132.0
2016,충청남도,3523261.0,3073036.0,2669253.0,403783.0,450225.0
2016,전북특별자치도,3098814.0,2616967.0,2357528.0,259438.0,481847.0
2016,전라남도,3463847.0,2938553.0,2620350.0,318203.0,525294.0
2016,경상북도,3326347.0,2916120.0,2571569.0,344551.0,410227.0
2016,경상남도,3257296.0,2889391.0,2551751.0,337640.0,367905.0
2016,제주특별자치도,2564480.0,2389239.0,2269348.0,119891.0,175241.0
2017,서울특별시,3942278.0,3445867.0,3336121.0,109746.0,496411.0
2017,부산광역시,3064665.0,2786616.0,2602855.0,183762.0,278049.0
2017,대구광역시,2846290.0,2634209.0,2391299.0,242911.0,212081.0
2017,인천광역시,3231748.0,2913439.0,2665555.0,247884.0,318309.0
2017,광주광역시,3101641.0,2731776.0,2491666.0,240110.0,369865.0
2017,대전광역시,3406810.0,3071837.0,2907279.0,164557.0,334973.0
2017,울산광역시,4241425.0,3169771.0,2724062.0,445709.0,1071654.0
2017,세종특별자치시,3448580.8,3057986.3,2707757.6,350228.8,390594.5
2017,경기도,3433070.0,3102230.0,2869392.0,232838.0,330840.0
2017,강원특별자치도,3106416.0,2804556.0,2600579.0,203978.0,301860.0
2017,충청북도,3304307.0,2888651.0,2499423.0,389228.0,415656.0
2017,충청남도,3594988.0,3139647.0,2733986.0,405661.0,455341.0
2017,전북특별자치도,3195239.0,2750571.0,2442906.0,307665.0,444668.0
2017,전라남도,3549854.0,2996396.0,2690185.0,306212.0,553458.0
2017,경상북도,3406713.0,2986091.0,2624005.0,362086.0,420622.0
2017,경상남도,3320841.0,2943459.0,2610037.0,333422.0,377382.0
2017,제주특별자치도,2649364.0,2456978.0,2329278.0,127700.0,192386.0
2018,서울특별시,4065263.0,3563940.0,3439652.0,124288.0,501323.0
2018,부산광역시,3221296.0,2962069.0,2782542.0,179527.0,259227.0
2018,대구광역시,2962738.0,2766527.0,2521683.0,244844.0,196211.0
2018,인천광역시,3312814.0,3013149.0,2780194.0,232955.0,299665.0
2018,광주광역시,3177872.0,2803147.0,2580884.0,222263.0,374725.0
2018,대전광역시,3519385.0,3189820.0,3027910.0,161910.0,329565.0
2018,울산광역시,4312634.0,3279013.0,2848358.0,430656.0,1033621.0
2018,세종특별자치시,3535614.5,3163876.3,2816095.2,347781.2,371738.2
2018,경기도,3550712.0,3236256.0,3005107.0,231149.0,314456.0
2018,강원특별자치도,3207049.0,2931838.0,2710643.0,221195.0,275211.0
2018,충청북도,3426880.0,3035381.0,2656732.0,378649.0,391499.0
2018,충청남도,3679557.0,3246198.0,2843373.0,402826.0,433359.0
2018,전북특별자치도,3293434.0,2901251.0,2586429.0,314821.0,392183.0
2018,전라남도,3696074.0,3145992.0,2809543.0,336449.0,550082.0
2018,경상북도,3520898.0,3151486.0,2778589.0,372897.0,369412.0
2018,경상남도,3396737.0,3054555.0,2737276.0,317279.0,342182.0
2018,제주특별자치도,2767497.0,2584690.0,2460850.0,123840.0,182807.0
2019,서울특별시,4226102.0,3704202.0,3554867.0,149335.0,521900.0
2019,부산광역시,3315194.0,3050186.0,2868469.0,181717.0,265008.0
2019,대구광역시,3093806.0,2908433.0,2679240.0,229192.0,185373.0
2019,인천광역시,3390920.0,3121843.0,2896765.0,225078.0,269077.0
2019,광주광역시,3278027.0,2942622.0,2717458.0,225164.0,335405.0
2019,대전광역시,3601728.0,3287005.0,3130710.0,156296.0,314723.0
2019,울산광역시,4353358.0,3377777.0,2965650.0,412127.0,975581.0
2019,세종특별자치시,3637224.3,3288924.9,2942246.2,346678.7,348299.5
2019,경기도,3698529.0,3384598.0,3147200.0,237398.0,313931.0
2019,강원특별자치도,3292836.0,3049958.0,2829582.0,220376.0,242878.0
2019,충청북도,3482279.0,3142720.0,2791914.0,350806.0,339559.0
2019,충청남도,3778330.0,3372295.0,2970746.0,401549.0,406035.0
2019,전북특별자치도,3381091.0,2992628.0,2683884.0,308744.0,388463.0
2019,전라남도,3731288.0,3235215.0,2927554.0,307661.0,496073.0
2019,경상북도,3699749.0,3262945.0,2919379.0,343566.0,436804.0
2019,경상남도,3580582.0,3190336.0,2864073.0,326263.0,390246.0
2019,제주특별자치도,2889103.0,2710704.0,2590625.0,120079.0,178399.0
2020,서울특별시,4177937.0,3745761.0,3588914.0,156846.0,432176.0
2020,부산광역시,3382497.0,3124238.0,2960706.0,163532.0,258259.0
2020,대구광역시,3148054.0,2939627.0,2754341.0,185286.0,208427.0
2020,인천광역시,3442684.0,3172498.0,2944863.0,227636.0,270186.0
