연도,행정구역,19세,20~24세,25~29세,30~34세,35~39세
2015,전국,671216,3385936,3027896,3611034,3783589
2015,서울특별시,121531,681199,722350,823935,767625
2015,부산광역시,48246,241138,203729,232762,240788
2015,대구광역시,35472,175680,141245,159794,175062
2015,인천광역시,36518,195760,180149,215364,225552
2015,광주광역시,23947,114226,89544,107109,115620
2015,대전광역시,27403,124959,99506,109626,115499
2015,울산광역시,13568,76771,69937,86497,90522
2015,세종특별자치시,3295,13861,11199,16583,19641
2015,경기도,157674,804648,731217,904071,993964
2015,강원특별자치도,21687,104816,76777,85868,95961
2015,충청북도,24749,108456,86747,101981,107780
2015,충청남도,30617,135706,113629,140662,148381
2015,전북특별자치도,25993,121426,91510,104691,117846
2015,전라남도,19681,93986,75927,98162,110192
2015,경상북도,35122,162946,136521,163734,172486
2015,경상남도,38635,194204,168655,221650,243328
2015,제주특별자치도,7078,36154,29254,38545,43342
2016,전국,650486,3400634,3068970,3415599,3852007
2016,서울특별시,117053,673957,720334,772614,773379
2016,부산광역시,45287,237733,204407,216764,248134
2016,대구광역시,33647,174130,143280,150002,176247
2016,인천광역시,35295,194664,184813,203756,232443
2016,광주광역시,23033,114951,88844,99729,115222
2016,대전광역시,26639,125729,101112,103764,115923
2016,울산광역시,13057,75870,71351,81222,93186
2016,세종특별자치시,3622,16686,13914,19155,24347
2016,경기도,154492,813226,756646,863963,1019400
2016,강원특별자치도,21214,105907,78496,81620,96444
2016,충청북도,24297,113189,88270,98108,108415
2016,충청남도,30929,139392,114044,134323,152285
2016,전북특별자치도,25407,123315,91187,98994,117433
2016,전라남도,19014,95427,76435,93402,110555
2016,경상북도,34173,164667,135395,153786,175114
2016,경상남도,36428,195198,169649,207206,247969
2016,제주특별자치도,6899,36593,30793,37191,45511
2017,전국,624583,3355986,3164039,3216057,3904372
2017,서울특별시,112538,661569,735323,727683,777632
2017,부산광역시,43258,231153,209493,200554,249880
2017,대구광역시,31252,170185,148739,140523,176914
2017,인천광역시,33665,190964,192289,191132,235463
2017,광주광역시,22350,114650,91856,91459,115375
2017,대전광역시,25482,124742,104070,97389,115339
2017,울산광역시,11882,73591,71788,74938,94144
2017,세종특별자치시,3772,17536,15724,20674,28716
2017,경기도,150706,810977,796839,824632,1041924
2017,강원특별자치도,20308,103149,81027,76594,96458
2017,충청북도,22768,112596,90676,92156,110424
2017,충청남도,30469,138349,117722,128521,157072
2017,전북특별자치도,24380,122021,92330,91748,116625
2017,전라남도,17903,93977,76918,86282,111710
2017,경상북도,32513,161828,134837,143193,176668
2017,경상남도,34740,191438,171338,192691,252281
2017,제주특별자치도,6597,37261,33070,35888,47747
2018,전국,597933,3290233,3259284,3080835,3915428
2018,서울특별시,106752,645569,755906,696267,772520
2018,부산광역시,40353,223664,213372,188522,247250
2018,대구광역시,29340,166310,153809,133980,175863
2018,인천광역시,31715,183634,199068,182629,235177
2018,광주광역시,21324,113013,94546,85190,114352
2018,대전광역시,24502,121799,105447,92226,112989
2018,울산광역시,11227,70594,72681,70161,93593
2018,세종특별자치시,3910,18767,17656,22828,32963
2018,경기도,145808,801875,834485,807838,1063315
2018,강원특별자치도,19825,100643,82242,73190,95467
2018,충청북도,21904,110420,93665,88653,110983
2018,충청남도,29415,136454,118697,123349,158758
2018,전북특별자치도,22998,120249,93335,86260,114323
2018,전라남도,17646,94154,79527,80139,110994
2018,경상북도,31462,157817,134703,134411,175787
2018,경상남도,33236,188367,174382,180466,251613
2018,제주특별자치도,6516,36904,35763,34726,49481
2019,전국,614731,3203741,3343423,3029678,3791256
2019,서울특별시,110312,630814,777456,685989,745331
2019,부산광역시,41078,214191,215018,183285,235580
2019,대구광역시,30928,161473,155216,131908,167704
2019,인천광역시,32563,178713,204276,179654,226943
2019,광주광역시,22251,111384,98608,82165,109729
2019,대전광역시,24724,118844,107362,89567,107673
2019,울산광역시,11492,67440,72073,67734,89874
2019,세종특별자치시,3573,19491,19449,24383,34602
2019,경기도,151192,786388,868553,810656,1044396
2019,강원특별자치도,19839,97721,82877,72207,92272
2019,충청북도,22294,107757,96911,86830,108382
2019,충청남도,30159,133469,119097,119934,153827
2019,전북특별자치도,23578,115976,95285,82318,109269
2019,전라남도,18139,92121,83292,76911,106345
2019,경상북도,32505,151471,135033,129210,169249
2019,경상남도,33355,180758,175434,173220,241872
2019,제주특별자치도,6749,35730,37483,33707,48208
2020,전국,563850,3193316,3423231,3032832,3594213
2020,서울특별시,100129,625922,795700,692702,711638
2020,부산광역시,35874,208516,217205,183399,219837
2020,대구광역시,28341,159127,156979,131598,155831
2020,인천광역시,29784,176352,206715,178600,212499
2020,광주광역시,18908,108360,101494,81265,102632
2020,대전광역시,22736,118916,109481,89214,101066
2020,울산광역시,10535,65714,71870,66456,83173
2020,세종특별자치시,4190,20512,19927,24887,34059
2020,경기도,146879,808894,904805,824564,1007461
2020,강원특별자치도,17077,95232,84339,72513,87830
2020,충청북도,20471,106223,101030,86765,103470
2020,충청남도,25265,127916,119515,117222,144801
2020,전북특별자치도,21852,115947,97122,81111,102185
2020,전라남도,16377,92307,86664,75955,100239
2020,경상북도,27950,147069,134586,125324,157660
2020,경상남도,31191,179537,176865,167446,223838
2020,제주특별자치도,6291,36772,38934,33811,45994
2021,전국,490609,3066118,3439492,3080905,3408007
2021,서울특별시,87844,599600,795367,699372,673812
2021,부산광역시,30565,199849,216226,186247,204935
2021,대구광역시,24118,152109,156459,132616,145701
2021,인천광역시,26579,168369,206383,184385,202693
2021,광주광역시,17327,106097,103700,82747,96670
2021,대전광역시,20146,115568,110698,90640,95114
2021,울산광역시,9001,60707,70754,65838,76733
2021,세종특별자치시,3599,18836,20285,25605,33387
