iter	Passed	Remaining
0	77	77220
1	78	39334
2	80	26629
3	81	20289
4	82	16449
5	83	13864
6	84	12031
7	85	10642
8	86	9560
9	87	8698
10	88	7990
11	89	7400
12	90	6897
13	91	6474
14	92	6100
15	93	5773
16	94	5484
17	95	5229
18	96	5003
19	97	4798
20	98	4614
21	100	4445
22	101	4293
23	102	4152
24	103	4022
25	104	3903
26	105	3797
27	106	3694
28	107	3598
29	108	3513
30	109	3431
31	110	3353
32	111	3276
33	112	3204
34	113	3138
35	114	3073
36	115	3014
37	116	2959
38	117	2902
39	118	2849
40	119	2800
41	120	2753
42	121	2707
43	122	2664
44	123	2623
45	124	2582
46	125	2542
47	126	2504
48	127	2468
49	128	2434
50	129	2401
51	130	2370
52	131	2340
53	132	2312
54	132	2284
55	133	2256
56	134	2229
57	135	2203
58	136	2178
59	137	2154
60	138	2130
61	139	2112
62	140	2090
63	141	2071
64	142	2050
65	143	2030
66	144	2011
67	145	1992
68	146	1975
69	147	1960
70	148	1942
71	149	1925
72	150	1909
73	151	1893
74	152	1877
75	153	1863
76	154	1849
77	155	1836
78	156	1822
79	157	1808
80	158	1794
81	159	1781
82	160	1769
83	161	1758
84	162	1746
85	163	1735
86	164	1724
87	165	1713
88	166	1702
89	167	1691
90	168	1680
91	169	1671
92	170	1665
93	171	1655
94	172	1645
95	173	1634
96	174	1626
97	175	1617
98	176	1608
99	177	1599
100	178	1590
101	179	1581
102	180	1573
103	181	1565
104	182	1557
105	183	1549
106	184	1542
107	185	1533
108	186	1526
109	187	1518
110	188	1510
111	189	1503
112	190	1496
113	191	1489
114	192	1482
115	193	1476
116	194	1469
117	195	1462
118	196	1455
119	197	1449
120	198	1443
121	199	1436
122	200	1429
123	201	1423
124	202	1417
125	203	1410
126	204	1404
127	205	1398
128	206	1393
129	207	1387
130	208	1381
131	209	1376
132	210	1370
133	211	1364
134	212	1359
135	213	1354
136	214	1349
137	215	1344
138	216	1339
139	217	1334
140	218	1329
141	219	1324
142	220	1319
143	221	1315
144	222	1310
145	223	1305
146	224	1301
147	225	1296
148	226	1291
149	227	1287
150	228	1282
151	229	1277
152	230	1274
153	231	1269
154	232	1265
155	233	1261
156	234	1256
157	234	1252
158	235	1247
159	236	1243
160	237	1239
161	238	1235
162	239	1232
163	240	1228
164	242	1224
165	242	1220
166	244	1217
167	245	1213
168	246	1209
169	246	1205
170	247	1202
171	248	1198
172	249	1194
173	250	1190
174	251	1186
175	252	1183
176	253	1179
177	254	1176
178	255	1173
179	256	1170
180	257	1166
181	258	1163
182	259	1159
183	260	1156
184	261	1153
185	262	1149
186	263	1146
187	264	1142
188	265	1139
189	266	1135
190	267	1132
191	268	1129
192	269	1126
193	270	1122
194	271	1119
195	272	1116
196	273	1113
197	274	1110
198	275	1107
