iter	Passed	Remaining
0	0	762
1	1	736
2	2	675
3	2	647
4	3	620
5	3	609
6	4	609
7	4	596
8	5	588
9	5	579
10	6	571
11	6	574
12	7	579
13	8	573
14	8	568
15	9	563
16	9	563
17	10	564
18	10	565
19	11	561
20	11	557
21	12	552
22	13	552
23	13	551
24	14	556
25	14	558
26	15	555
27	15	552
28	16	556
29	17	556
30	17	555
31	18	552
32	18	550
33	19	548
34	19	540
35	20	539
36	20	537
37	21	537
38	21	531
39	22	531
40	22	532
41	23	531
42	23	531
43	24	531
44	24	530
45	25	529
46	26	527
47	26	526
48	27	525
49	27	524
50	28	522
51	28	518
52	29	519
53	29	520
54	30	522
55	31	523
56	31	525
57	32	525
58	32	524
59	33	525
60	34	524
61	34	524
62	35	525
63	35	524
64	36	523
65	36	523
66	37	521
67	38	521
68	38	521
69	39	521
70	39	520
71	40	519
72	40	518
73	41	518
74	41	516
75	42	517
76	43	517
77	43	517
78	44	517
79	45	517
80	45	517
81	46	516
82	46	518
83	47	517
84	48	516
85	48	513
86	48	513
87	49	512
88	49	511
89	50	510
90	50	508
91	51	507
92	51	506
93	52	505
94	52	504
95	53	503
96	53	502
97	54	501
98	55	501
99	55	501
100	56	501
101	56	501
102	57	501
103	58	501
104	58	502
105	59	501
106	60	502
107	60	502
108	61	502
109	61	501
110	62	500
111	63	500
112	63	500
113	64	500
114	64	499
115	65	498
116	66	498
117	66	498
118	67	497
119	67	496
120	68	496
121	68	495
122	69	495
123	70	495
124	70	494
125	71	493
126	71	493
127	72	492
128	73	493
129	73	493
130	74	494
131	75	494
132	75	494
133	76	495
134	77	494
135	77	495
136	78	494
137	79	494
138	79	493
139	80	493
140	80	493
141	81	492
142	82	491
143	82	490
144	83	489
145	83	490
146	84	489
147	84	489
148	85	488
149	86	487
150	86	486
151	87	486
152	87	485
153	88	485
154	88	485
155	89	485
156	90	484
157	90	484
158	91	483
159	92	483
160	92	482
161	93	482
162	93	481
163	94	480
164	94	480
165	95	479
166	96	479
167	96	478
168	97	477
169	97	476
170	98	475
171	98	475
172	99	474
173	99	473
174	100	473
175	100	472
176	101	471
177	101	470
178	102	469
179	103	469
180	103	469
181	104	468
182	104	468
183	105	468
184	106	467
185	106	466
186	107	465
187	107	464
188	107	463
189	108	462
190	109	462
191	109	461
192	110	460
193	110	459
194	111	458
195	111	458
196	112	457
197	112	456
198	113	455
199	113	455
200	114	454
201	114	453
202	115	452
203	115	452
204	116	452
205	117	451
206	117	450
207	118	450
208	119	450
209	119	450
210	120	450
211	121	449
212	121	449
213	122	448
214	122	448
215	123	447
216	123	447
217	124	446
218	125	445
219	125	445
220	126	444
221	126	444
222	127	443
223	127	443
224	128	442
225	129	442
226	129	441
227	130	440
228	130	440
229	131	439
230	131	439
231	132	438
232	133	438
233	134	438
234	134	438
235	135	438
236	135	437
237	136	437
238	137	436
239	137	435
240	138	435
241	138	435
242	139	434
243	140	434
244	140	433
245	141	433
246	141	432
247	142	432
248	143	431
249	143	431
250	144	430
251	144	430
252	145	429
253	145	428
254	146	427
255	147	427
256	147	427
257	148	426
258	149	426
259	149	426
260	150	425
261	151	425
262	151	424
263	152	424
264	152	423
265	153	423
266	153	422
267	154	421
