"ÃÑ·®ÁöÁ¡¸í","ÀÏÀÚ","¼ö¿Â(¡É)","¼ö¼ÒÀÌ¿Â³óµµ(ph)","Àü±âÀüµµµµ(¥ìS/§¯)","¿ëÁ¸»ê¼Ò(§·/L)","BOD(§·/L)","COD(§·/L)","ºÎÀ¯¹°Áú(§·/L)","ÃÑÁú¼Ò(T-N)(§·/L)","ÃÑÀÎ(T-P)(§·/L)","ÃÑÀ¯±âÅº¼Ò(TOC)(§·/L)","À¯·®(§©/s)"
"³«º»L","2020.12.02","11.0","8.3","316","11.7","1.1","5.0","2.4","2.516","0.028","3.4","47.960"
"³«º»M","2020.12.04","9.7","7.7","441","11.1","1.3","5.0","5.2","2.263","0.024","3.3","185.830"
"³«º»N","2020.12.04","6.8","7.5","388","11.8","1.3","5.4","11.6","2.955","0.056","3.8","28.922"
"³«º»L","2020.12.07","9.5","7.6","331","11.1","0.8","4.7","0.4","2.953","0.024","3.6","81.440"
"³«º»M","2020.12.09","8.9","7.3","357","11.1","0.9","4.8","3.6","2.370","0.024","3.6","179.490"
"³«º»N","2020.12.09","5.5","7.2","510","12.4","2.0","5.7","7.6","3.019","0.037","4.2","0.000"
"³«º»L","2021.01.18","3.3","7.2","449","15.2","2.0","5.7","5.6","3.194","0.028","4.2","47.810"
"³«º»M","2021.01.20","3.1","7.4","498","14.4","1.8","5.4","6.4","2.988","0.024","4.0","89.020"
"³«º»N","2021.01.20","2.5","7.3","1109","14.6","3.6","7.3","8.4","4.907","0.042","6.1","0.000"
"³«º»L","2021.01.26","4.9","7.2","460","16.0","2.5","6.3","7.2","3.473","0.025","4.7","76.170"
"³«º»M","2021.01.28","5.2","7.6","498","14.1","1.6","5.1","5.2","3.056","0.026","4.2","52.740"
"³«º»N","2021.01.28","6.5","7.5","1089","12.9","3.1","7.5","13.2","5.414","0.061","5.8","39.935"
"³«º»L","2021.02.01","5.1","7.8","477","15.5","2.5","6.3","9.2","3.289","0.027","5.0","27.880"
"³«º»M","2021.02.03","4.3","7.5","530","14.0","2.0","5.9","6.4","3.166","0.030","4.4","66.190"
"³«º»N","2021.02.03","5.5","7.5","937","12.5","3.9","7.9","14.8","4.717","0.068","5.8","27.348"
"³«º»L","2021.02.16","6.4","7.9","462","11.9","3.4","6.9","13.2","3.566","0.027","5.2","73.770"
"³«º»M","2021.02.18","4.9","7.6","577","13.3","2.5","7.2","9.2","3.074","0.044","5.0","62.960"
"³«º»N","2021.02.18","4.2","7.6","1084","12.4","3.8","8.7","18.0","4.827","0.088","6.2","0.000"
"³«º»L","2021.02.22","7.0","8.1","458","13.5","2.7","6.6","8.8","3.515","0.033","4.8","24.350"
"³«º»M","2021.02.24","6.7","8.0","577","13.2","2.4","6.6","9.6","3.040","0.031","5.1","66.680"
"³«º»N","2021.02.24","7.7","7.9","1160","12.5","3.5","8.1","15.2","4.681","0.052","5.9","8.763"
"³«º»L","2021.03.03","7.8","7.6","420","11.5","2.8","6.0","11.6","3.214","0.042","4.5","553.390"
"³«º»M","2021.03.05","8.5","7.8","507","12.0","2.8","6.6","13.2","3.438","0.039","4.5","228.870"
"³«º»N","2021.03.05","10.1","7.6","674","9.8","2.7","7.3","16.4","3.459","0.093","4.8","0.000"
"³«º»L","2021.03.08","9.8","8.2","363","12.6","2.5","6.4","8.8","3.358","0.031","3.9","209.270"
"³«º»M","2021.03.10","9.3","8.3","463","12.2","2.8","6.2","14.0","3.447","0.049","3.8","243.150"
"³«º»N","2021.03.10","10.4","8.1","859","10.8","2.7","6.3","13.2","3.402","0.074","3.6","0.000"
"³«º»L","2021.03.16","13.1","8.4","414","13.6","3.1","7.0","10.4","3.604","0.031","5.5","135.340"
"³«º»M","2021.03.18","12.2","8.3","406","12.0","3.8","6.3","10.4","3.504","0.045","4.6","130.260"
"³«º»N","2021.03.18","14.7","8.6","657","12.3","6.4","8.7","15.6","3.453","0.075","6.6","0.000"
"³«º»L","2021.03.22","11.8","8.1","409","11.6","1.9","5.9","6.8","3.574","0.032","4.2","119.870"
"³«º»M","2021.03.24","12.4","8.0","461","10.6","1.7","5.3","6.4","3.471","0.047","4.0","130.850"
"³«º»N","2021.03.24","13.2","8.1","1019","10.9","2.9","6.9","10.4","3.185","0.053","5.4","0.000"
"³«º»L","2021.04.06","15.8","7.8","289","10.9","2.3","4.9","6.8","2.772","0.033","3.2","585.640"
"³«º»M","2021.04.08","16.0","8.4","323","11.0","1.6","5.1","6.0","3.099","0.024","3.5","297.030"
"³«º»N","2021.04.08","15.6","7.8","682","10.0","2.4","5.9","8.4","2.986","0.054","4.2","0.000"
"³«º»L","2021.04.12","15.1","8.2","348","12.0","1.8","6.2","7.2","3.396","0.037","4.4","179.870"
"³«º»M","2021.04.14","15.1","8.0","316","10.9","1.3","4.9","10.0","2.923","0.043","3.4","383.870"
"³«º»N","2021.04.14","15.4","7.7","575","10.0","3.9","6.7","18.0","3.540","0.095","4.4","16.505"
"³«º»L","2021.04.20","18.6","8.3","297","10.0","1.6","4.9","2.8","2.910","0.032","4.2","159.230"
"³«º»M","2021.04.22","17.3","8.4","330","11.5","1.8","5.7","4.4","3.005","0.039","4.1","140.650"
"³«º»N","2021.04.22","18.5","8.1","622","10.9","2.5","7.2","14.0","3.709","0.070","5.1","0.000"
"³«º»L","2021.04.26","17.1","7.7","283","9.2","1.2","4.7","5.2","2.594","0.044","3.1","52.850"
"³«º»M","2021.04.28","19.4","7.8","349","9.0","1.1","5.0","8.8","2.333","0.059","3.3","82.210"
"³«º»N","2021.04.28","19.8","8.4","870","10.1","1.9","6.8","5.2","2.746","0.050","4.3","0.000"
"³«º»L","2021.05.03","18.5","7.7","268","9.2","1.0","4.7","3.2","2.423","0.034","2.9","43.110"
"³«º»M","2021.05.06","18.7","8.4","540","10.4","1.6","5.1","4.0","2.201","0.044","3.3","158.390"
"³«º»N","2021.05.06","19.7","8.4","882","10.9","4.1","8.6","11.2","2.963","0.060","5.4","0.000"
"³«º»L","2021.05.11","19.2","7.9","260","9.3","1.9","5.1","2.4","2.423","0.040","3.2","161.610"
"³«º»M","2021.05.13","20.4","8.8","415","11.7","3.0","6.0","3.2","1.966","0.024","3.7","178.820"
"³«º»N","2021.05.13","20.9","9.0","1175","11.4","5.2","8.9","11.6","2.257","0.038","5.9","0.000"
"³«º»L","2021.05.17","19.8","7.5","279","7.9","1.0","5.5","3.6","2.352","0.027","3.2","732.170"
"³«º»M","2021.05.20","20.1","7.6","374","8.1","1.4","4.2","4.8","1.930","0.035","3.3","475.220"
"³«º»N","2021.05.20","20.4","7.6","1088","7.5","2.6","7.9","5.2","2.835","0.072","5.1","0.000"
"³«º»L","2021.05.25","21.6","7.4","346","8.7","1.7","6.6","3.2","2.878","0.030","4.1","235.540"
"³«º»M","2021.05.27","21.0","7.6","458","8.5","1.2","6.0","0.8","2.493","0.030","3.6","72.100"
"³«º»N","2021.05.27","21.4","8.2","893","9.4","5.7","12.3","14.0","2.685","0.061","6.6","16.655"
"³«º»L","2021.06.01","23.7","8.1","297","9.4","1.3","5.7","2.0","2.307","0.017","3.6","312.120"
"³«º»M","2021.06.03","21.7","8.0","355","9.4","2.2","6.6","5.6","2.628","0.022","4.4","147.760"
"³«º»N","2021.06.03","22.4","8.5","855","9.6","4.3","10.2","9.6","2.100","0.043","7.0","0.000"
"³«º»L","2021.06.08","26.0","8.7","301","9.8","3.1","7.1","5.2","2.037","0.021","4.5","192.100"
"³«º»M","2021.06.10","25.4","8.8","339","9.9","2.8","7.0","5.2","1.778","0.031","4.5","126.250"
"³«º»N","2021.06.10","25.8","8.8","837","10.8","6.5","12.8","14.4","2.211","0.066","7.8","9.178"
"³«º»L","2021.06.14","25.0","7.9","280","8.5","1.9","5.4","5.2","1.745","0.033","3.7","133.500"
"³«º»M","2021.06.16","23.8","7.7","333","8.0","2.1","3.9","12.4","1.705","0.031","3.7","278.250"
"³«º»N","2021.06.16","23.1","7.6","638","7.7","3.5","8.9","14.0","1.998","0.056","5.4","0.000"
"³«º»L","2021.06.22","25.9","8.4","267","10.3","2.3","6.4","8.4","1.491","0.020","4.1","354.890"
"³«º»M","2021.06.24","25.8","8.7","303","9.9","2.9","9.3","11.6","1.866","0.036","5.7","249.800"
"³«º»N","2021.06.24","25.6","8.7","746","9.9","3.3","10.4","11.2","1.857","0.045","6.7","6.042"
"³«º»L","2021.07.06","25.2","7.7","270","7.3","2.4","7.5","43.2","1.603","0.061","3.9","3082.690"
"³«º»L","2021.07.12","26.0","7.0","141","7.4","1.0","6.4","13.6","2.294","0.084","4.6","2020.970"
"³«º»M","2021.07.14","28.0","7.6","139","8.6","3.6","7.6","11.2","2.151","0.084","4.7","702.710"
"³«º»N","2021.07.14","28.2","7.8","300","9.6","3.6","8.2","16.4","1.967","0.084","3.9","5.787"
"³«º»L","2021.07.20","29.6","7.4","144","8.3","2.2","7.6","6.8","2.319","0.075","5.4","408.990"
"³«º»M","2021.07.22","29.1","7.2","145","7.8","1.2","7.4","6.4","2.191","0.082","5.0","292.190"
"³«º»N","2021.07.22","29.4","7.6","523","7.0","1.7","7.2","13.6","1.853","0.073","5.7","6.597"
"³«º»L","2021.08.17","26.6","7.8","239","7.5","1.6","6.6","7.2","1.796","0.058","4.0","295.780"
"³«º»M","2021.08.19","27.9","8.4","286","7.6","1.6","6.8","8.0","1.774","0.054","4.0","218.320"
"³«º»N","2021.08.19","26.2","8.7","1131","10.1","7.0","15.1","28.8","1.584","0.085","7.3","0.000"
"³«º»L","2021.08.24","25.3","7.6","186","7.5","1.4","6.5","34.4","2.066","0.090","4.1","3968.940"
"³«º»M","2021.08.26","26.4","7.3","204","6.9","1.8","6.8","19.6","1.981","0.100","4.8","3238.930"
"³«º»N","2021.08.26","26.3","7.2","250","6.0","1.2","5.5","26.4","1.917","0.118","3.5","1.596"
"³«º»L","2021.09.06","23.5","7.4","184","7.7","0.9","6.7","14.8","2.759","0.093","4.8","419.510"
"³«º»M","2021.09.08","24.5","7.4","214","7.6","1.2","6.7","10.8","2.524","0.098","5.0","597.990"
"³«º»N","2021.09.08","25.1","7.5","584","6.8","1.4","6.4","17.6","2.240","0.082","4.1","2.037"
"³«º»L","2021.09.14","23.3","7.5","199","9.2","1.1","6.6","10.8","2.514","0.064","4.8","377.080"
"³«º»M","2021.09.16","23.7","8.1","251","8.9","1.4","6.7","12.0","2.310","0.062","5.3","301.810"
"³«º»N","2021.09.16","23.2","7.7","1073","7.5","1.5","7.0","19.2","2.417","0.071","5.0","0.000"
"³«º»L","2021.09.27","23.5","8.1","217","9.0","1.4","6.1","9.2","2.129","0.025","4.1","172.020"
"³«º»M","2021.09.29","24.9","8.5","238","8.9","2.2","6.8","8.4","1.739","0.031","4.2","355.050"
"³«º»N","2021.09.29","24.4","8.0","973","7.9","3.3","8.2","14.0","2.201","0.059","4.9","0.000"
"³«º»L","2021.10.06","26.0","8.7","254","9.9","1.3","5.3","4.8","2.005","0.022","3.8","176.670"
"³«º»M","2021.10.08","25.3","8.6","262","9.1","1.4","5.7","6.8","1.837","0.028","4.4","104.700"
"³«º»N","2021.10.08","25.2","7.7","980","7.4","1.5","7.2","7.6","2.510","0.049","4.8","11.551"
"³«º»L","2021.10.12","23.1","8.7","251","8.9","1.4","5.2","12.0","1.864","0.018","4.1","283.500"
"³«º»M","2021.10.14","23.5","8.6","394","9.1","1.8","5.9","8.4","1.765","0.023","3.8","129.530"
"³«º»N","2021.10.14","22.0","7.6","1457","6.8","1.5","6.7","8.8","2.074","0.049","4.7","0.000"
"³«º»L","2021.10.19","21.8","9.0","268","11.0","1.7","6.5","6.8","2.234","0.018","4.6","289.500"
"³«º»M","2021.10.21","19.2","9.0","344","10.0","1.4","6.6","8.4","1.721","0.022","4.2","137.710"
"³«º»N","2021.10.21","15.7","7.6","1111","8.5","2.3","9.4","13.6","2.462","0.060","5.8","0.000"
"³«º»L","2021.10.25","19.0","9.2","282","11.6","1.8","7.1","12.8","1.945","0.031","5.0","122.920"
"³«º»M","2021.10.27","18.8","8.8","460","9.7","1.1","5.7","5.2","1.855","0.019","3.1","91.650"
"³«º»N","2021.10.27","16.4","8.0","967","9.6","3.7","9.8","14.8","2.523","0.035","5.7","0.000"
"³«º»L","2021.11.02","18.8","9.2","299","11.5","1.6","5.7","4.8","1.910","0.017","3.8","115.040"
"³«º»M","2021.11.04","17.5","8.6","550","9.6","0.7","5.1","2.4","1.634","0.026","3.2","72.660"
"³«º»N","2021.11.04","15.2","8.4","1140","11.0","4.3","10.8","19.2","2.253","0.055","6.8","0.000"
"³«º»L","2021.11.08","16.6","8.8","328","11.1","1.2","5.7","8.0","2.034","0.018","3.6","236.660"
"³«º»M","2021.11.10","15.8","8.3","766","9.7","0.7","5.2","4.0","1.759","0.028","3.1","139.230"
